Jun 22 11:03:40.646 WARN Ethereum 2.0 is pre-release. This software is experimental.
Jun 22 11:03:40.646 INFO Using default testnet                   default: witti-v0-11-3
Jun 22 16:21:18.001 INFO Synced                                  slot: 191506, block:    …  empty, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:21:24.354 INFO New block received                      hash: 0x994c…38bf, slot: 191507, service: router
Jun 22 16:21:30.001 INFO Synced                                  slot: 191507, block: 0x994c…38bf, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:21:36.461 INFO New block received                      hash: 0xe71f…88fd, slot: 191508, service: router
Jun 22 16:21:42.002 INFO Synced                                  slot: 191508, block: 0xe71f…88fd, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:21:48.519 INFO New block received                      hash: 0x6186…a065, slot: 191509, service: router
Jun 22 16:21:54.001 INFO Synced                                  slot: 191509, block: 0x6186…a065, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:22:00.202 INFO New block received                      hash: 0x91c3…87fc, slot: 191510, service: router
Jun 22 16:22:06.002 INFO Synced                                  slot: 191510, block: 0x91c3…87fc, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:22:12.628 INFO New block received                      hash: 0xcddc…615f, slot: 191511, service: router
Jun 22 16:22:18.001 INFO Synced                                  slot: 191511, block: 0xcddc…615f, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:22:24.416 INFO New block received                      hash: 0xf2b3…4786, slot: 191512, service: router
Jun 22 16:22:30.002 INFO Synced                                  slot: 191512, block: 0xf2b3…4786, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:22:36.388 INFO New block received                      hash: 0x39be…7c9e, slot: 191513, service: router
Jun 22 16:22:42.001 INFO Synced                                  slot: 191513, block: 0x39be…7c9e, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:22:54.002 INFO Synced                                  slot: 191514, block:    …  empty, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:23:00.507 INFO New block received                      hash: 0x7f72…d29b, slot: 191515, service: router
Jun 22 16:23:06.001 INFO Synced                                  slot: 191515, block: 0x7f72…d29b, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:23:12.515 INFO New block received                      hash: 0x2f23…12c9, slot: 191516, service: router
Jun 22 16:23:18.001 INFO Synced                                  slot: 191516, block: 0x2f23…12c9, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:23:30.002 INFO Synced                                  slot: 191517, block:    …  empty, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:23:42.002 INFO Synced                                  slot: 191518, block:    …  empty, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:23:54.001 INFO Synced                                  slot: 191519, block:    …  empty, epoch: 5984, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:24:01.075 INFO New block received                      hash: 0xb5ff…c7d4, slot: 191520, service: router
Jun 22 16:24:06.001 INFO Synced                                  slot: 191520, block: 0xb5ff…c7d4, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:24:12.460 INFO New block received                      hash: 0x1bc8…12c5, slot: 191521, service: router
Jun 22 16:24:18.001 INFO Synced                                  slot: 191521, block: 0x1bc8…12c5, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:24:30.001 INFO Synced                                  slot: 191522, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:24:36.427 INFO New block received                      hash: 0xe100…9d2c, slot: 191523, service: router
Jun 22 16:24:42.001 INFO Synced                                  slot: 191523, block: 0xe100…9d2c, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:24:48.479 INFO New block received                      hash: 0x8203…bb50, slot: 191524, service: router
Jun 22 16:24:54.001 INFO Synced                                  slot: 191524, block: 0x8203…bb50, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:25:06.001 INFO Synced                                  slot: 191525, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 54, service: slot_notifier
Jun 22 16:25:12.405 INFO New block received                      hash: 0x79b0…a242, slot: 191526, service: router
Jun 22 16:25:18.001 INFO Synced                                  slot: 191526, block: 0x79b0…a242, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:25:30.001 INFO Synced                                  slot: 191527, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:25:42.001 INFO Synced                                  slot: 191528, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:25:48.578 INFO New block received                      hash: 0x6eae…6520, slot: 191529, service: router
Jun 22 16:25:54.001 INFO Synced                                  slot: 191529, block: 0x6eae…6520, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:26:00.879 INFO New block received                      hash: 0x84a4…74de, slot: 191530, service: router
Jun 22 16:26:06.001 INFO Synced                                  slot: 191530, block: 0x84a4…74de, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:26:18.002 INFO Synced                                  slot: 191531, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:26:30.001 INFO Synced                                  slot: 191532, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:26:42.002 INFO Synced                                  slot: 191533, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:26:48.737 INFO New block received                      hash: 0x7dba…2037, slot: 191534, service: router
Jun 22 16:26:54.001 INFO Synced                                  slot: 191534, block: 0x7dba…2037, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:27:06.001 INFO Synced                                  slot: 191535, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:27:12.622 INFO New block received                      hash: 0x48af…b377, slot: 191536, service: router
Jun 22 16:27:18.001 INFO Synced                                  slot: 191536, block: 0x48af…b377, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:27:24.529 INFO New block received                      hash: 0x1281…6195, slot: 191537, service: router
Jun 22 16:27:30.001 INFO Synced                                  slot: 191537, block: 0x1281…6195, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:27:36.552 INFO New block received                      hash: 0x774b…511c, slot: 191538, service: router
Jun 22 16:27:42.001 INFO Synced                                  slot: 191538, block: 0x774b…511c, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:27:54.001 INFO Synced                                  slot: 191539, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:00.436 INFO New block received                      hash: 0xda6c…3fb3, slot: 191540, service: router
Jun 22 16:28:06.002 INFO Synced                                  slot: 191540, block: 0xda6c…3fb3, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:12.580 INFO New block received                      hash: 0x8b30…a641, slot: 191541, service: router
Jun 22 16:28:18.001 INFO Synced                                  slot: 191541, block: 0x8b30…a641, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:24.687 INFO New block received                      hash: 0xd1e9…e40a, slot: 191542, service: router
Jun 22 16:28:30.001 INFO Synced                                  slot: 191542, block: 0xd1e9…e40a, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:42.001 INFO Synced                                  slot: 191543, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:54.001 INFO Synced                                  slot: 191544, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:28:59.687 INFO New block received                      hash: 0x3783…d164, slot: 191544, service: router
Jun 22 16:29:06.001 INFO Synced                                  slot: 191545, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:29:18.001 INFO Synced                                  slot: 191546, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:29:24.717 INFO New block received                      hash: 0x3882…a17b, slot: 191547, service: router
Jun 22 16:29:30.001 INFO Synced                                  slot: 191547, block: 0x3882…a17b, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:29:36.386 INFO New block received                      hash: 0x0898…5656, slot: 191548, service: router
Jun 22 16:29:42.002 INFO Synced                                  slot: 191548, block: 0x0898…5656, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:29:48.586 INFO New block received                      hash: 0xbfe2…d992, slot: 191549, service: router
Jun 22 16:29:54.001 INFO Synced                                  slot: 191549, block: 0xbfe2…d992, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:30:06.001 INFO Synced                                  slot: 191550, block:    …  empty, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:30:12.496 INFO New block received                      hash: 0x5865…64b4, slot: 191551, service: router
Jun 22 16:30:18.001 INFO Synced                                  slot: 191551, block: 0x5865…64b4, epoch: 5985, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:30:24.541 INFO New block received                      hash: 0x9b03…b555, slot: 191552, service: router
Jun 22 16:30:30.001 INFO Synced                                  slot: 191552, block: 0x9b03…b555, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:30:36.615 INFO New block received                      hash: 0xa047…e4cd, slot: 191553, service: router
Jun 22 16:30:42.001 INFO Synced                                  slot: 191553, block: 0xa047…e4cd, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:30:48.334 INFO New block received                      hash: 0xc5c8…b90b, slot: 191554, service: router
Jun 22 16:30:54.001 INFO Synced                                  slot: 191554, block: 0xc5c8…b90b, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:31:00.377 INFO New block received                      hash: 0x91ef…d2ec, slot: 191555, service: router
Jun 22 16:31:06.001 INFO Synced                                  slot: 191555, block: 0x91ef…d2ec, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:31:18.001 INFO Synced                                  slot: 191556, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:31:30.001 INFO Synced                                  slot: 191557, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:31:42.001 INFO Synced                                  slot: 191558, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:31:48.653 INFO New block received                      hash: 0xa8eb…07ad, slot: 191559, service: router
Jun 22 16:31:54.001 INFO Synced                                  slot: 191559, block: 0xa8eb…07ad, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:32:06.001 INFO Synced                                  slot: 191560, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:32:11.321 INFO New block received                      hash: 0x9e2b…a096, slot: 191560, service: router
Jun 22 16:32:18.001 INFO Synced                                  slot: 191561, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:32:30.001 INFO Synced                                  slot: 191562, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:32:42.002 INFO Synced                                  slot: 191563, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:32:48.548 INFO New block received                      hash: 0xbedf…bf90, slot: 191564, service: router
Jun 22 16:32:54.001 INFO Synced                                  slot: 191564, block: 0xbedf…bf90, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:33:00.432 INFO New block received                      hash: 0xbffc…f03c, slot: 191565, service: router
Jun 22 16:33:06.001 INFO Synced                                  slot: 191565, block: 0xbffc…f03c, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:33:12.522 INFO New block received                      hash: 0x86b4…c81a, slot: 191566, service: router
Jun 22 16:33:18.002 INFO Synced                                  slot: 191566, block: 0x86b4…c81a, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:33:30.001 INFO Synced                                  slot: 191567, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:33:42.001 INFO Synced                                  slot: 191568, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:33:54.001 INFO Synced                                  slot: 191569, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:34:00.487 INFO New block received                      hash: 0x95e4…56ca, slot: 191570, service: router
Jun 22 16:34:06.002 INFO Synced                                  slot: 191570, block: 0x95e4…56ca, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:34:18.002 INFO Synced                                  slot: 191571, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:34:30.001 INFO Synced                                  slot: 191572, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:34:42.001 INFO Synced                                  slot: 191573, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:34:54.001 INFO Synced                                  slot: 191574, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:35:00.451 INFO New block received                      hash: 0x2ecc…0b68, slot: 191575, service: router
Jun 22 16:35:06.001 INFO Synced                                  slot: 191575, block: 0x2ecc…0b68, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:35:18.001 INFO Synced                                  slot: 191576, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:35:24.431 INFO New block received                      hash: 0xc14b…cbbb, slot: 191577, service: router
Jun 22 16:35:30.001 INFO Synced                                  slot: 191577, block: 0xc14b…cbbb, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:35:42.001 INFO Synced                                  slot: 191578, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:35:48.407 INFO New block received                      hash: 0xafbc…5138, slot: 191579, service: router
Jun 22 16:35:54.001 INFO Synced                                  slot: 191579, block: 0xafbc…5138, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:36:00.561 INFO New block received                      hash: 0x7a30…d536, slot: 191580, service: router
Jun 22 16:36:06.002 INFO Synced                                  slot: 191580, block: 0x7a30…d536, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:36:18.001 INFO Synced                                  slot: 191581, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:36:30.001 INFO Synced                                  slot: 191582, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:36:42.001 INFO Synced                                  slot: 191583, block:    …  empty, epoch: 5986, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:36:48.416 INFO New block received                      hash: 0x1010…481e, slot: 191584, service: router
Jun 22 16:36:54.001 INFO Synced                                  slot: 191584, block: 0x1010…481e, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:37:00.404 INFO New block received                      hash: 0x1043…5902, slot: 191585, service: router
Jun 22 16:37:06.002 INFO Synced                                  slot: 191585, block: 0x1043…5902, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:37:12.357 INFO New block received                      hash: 0x8697…630e, slot: 191586, service: router
Jun 22 16:37:18.001 INFO Synced                                  slot: 191586, block: 0x8697…630e, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:37:24.577 INFO New block received                      hash: 0x13d3…c5e0, slot: 191587, service: router
Jun 22 16:37:30.001 INFO Synced                                  slot: 191587, block: 0x13d3…c5e0, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:37:36.456 INFO New block received                      hash: 0x0abe…14db, slot: 191588, service: router
Jun 22 16:37:42.001 INFO Synced                                  slot: 191588, block: 0x0abe…14db, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:37:54.001 INFO Synced                                  slot: 191589, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:38:06.001 INFO Synced                                  slot: 191590, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:38:12.942 INFO New block received                      hash: 0x1313…8b41, slot: 191591, service: router
Jun 22 16:38:18.002 INFO Synced                                  slot: 191591, block: 0x1313…8b41, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:38:30.001 INFO Synced                                  slot: 191592, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:38:42.001 INFO Synced                                  slot: 191593, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:38:54.001 INFO Synced                                  slot: 191594, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:39:06.001 INFO Synced                                  slot: 191595, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:39:12.756 INFO New block received                      hash: 0x0f8f…b294, slot: 191596, service: router
Jun 22 16:39:18.001 INFO Synced                                  slot: 191596, block: 0x0f8f…b294, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:39:25.564 INFO New block received                      hash: 0x31c2…0410, slot: 191597, service: router
Jun 22 16:39:30.002 INFO Synced                                  slot: 191597, block: 0x31c2…0410, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:39:36.429 INFO New block received                      hash: 0xcc99…4670, slot: 191598, service: router
Jun 22 16:39:42.001 INFO Synced                                  slot: 191598, block: 0xcc99…4670, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:39:54.001 INFO Synced                                  slot: 191599, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:40:00.660 INFO New block received                      hash: 0xd59a…a287, slot: 191600, service: router
Jun 22 16:40:06.001 INFO Synced                                  slot: 191600, block: 0xd59a…a287, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:40:18.001 INFO Synced                                  slot: 191601, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:40:24.419 INFO New block received                      hash: 0xe68b…f99d, slot: 191602, service: router
Jun 22 16:40:30.001 INFO Synced                                  slot: 191602, block: 0xe68b…f99d, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:40:36.512 INFO New block received                      hash: 0x5568…e6b9, slot: 191603, service: router
Jun 22 16:40:42.001 INFO Synced                                  slot: 191603, block: 0x5568…e6b9, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:40:54.001 INFO Synced                                  slot: 191604, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:41:00.420 INFO New block received                      hash: 0xe9b0…debf, slot: 191605, service: router
Jun 22 16:41:06.001 INFO Synced                                  slot: 191605, block: 0xe9b0…debf, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:41:18.001 INFO Synced                                  slot: 191606, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:41:24.615 INFO New block received                      hash: 0xe9a3…370e, slot: 191607, service: router
Jun 22 16:41:30.001 INFO Synced                                  slot: 191607, block: 0xe9a3…370e, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:41:36.464 INFO New block received                      hash: 0x124d…71e1, slot: 191608, service: router
Jun 22 16:41:37.357 INFO New block received                      hash: 0x65e8…b5e2, slot: 191608, service: router
Jun 22 16:41:42.002 INFO Synced                                  slot: 191608, block: 0x124d…71e1, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:41:48.452 INFO New block received                      hash: 0xae18…40f9, slot: 191609, service: router
Jun 22 16:41:54.001 INFO Synced                                  slot: 191609, block: 0xae18…40f9, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:42:06.001 INFO Synced                                  slot: 191610, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 56, service: slot_notifier
Jun 22 16:42:18.001 INFO Synced                                  slot: 191611, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 56, service: slot_notifier
Jun 22 16:42:24.538 INFO New block received                      hash: 0xd01e…9357, slot: 191612, service: router
Jun 22 16:42:30.001 INFO Synced                                  slot: 191612, block: 0xd01e…9357, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 56, service: slot_notifier
Jun 22 16:42:42.001 INFO Synced                                  slot: 191613, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:42:48.743 INFO New block received                      hash: 0xbf7d…f771, slot: 191614, service: router
Jun 22 16:42:54.003 INFO Synced                                  slot: 191614, block: 0xbf7d…f771, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:43:06.001 INFO Synced                                  slot: 191615, block:    …  empty, epoch: 5987, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:43:13.057 INFO New block received                      hash: 0x9fb2…95b6, slot: 191616, service: router
Jun 22 16:43:18.001 INFO Synced                                  slot: 191616, block: 0x9fb2…95b6, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:43:24.415 INFO New block received                      hash: 0xb699…f4cb, slot: 191617, service: router
Jun 22 16:43:30.002 INFO Synced                                  slot: 191617, block: 0xb699…f4cb, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:43:36.627 INFO New block received                      hash: 0xc314…7385, slot: 191618, service: router
Jun 22 16:43:42.001 INFO Synced                                  slot: 191618, block: 0xc314…7385, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:43:48.434 INFO New block received                      hash: 0x2806…8cf9, slot: 191619, service: router
Jun 22 16:43:54.002 INFO Synced                                  slot: 191619, block: 0x2806…8cf9, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:44:00.194 INFO New block received                      hash: 0xa2c7…5055, slot: 191620, service: router
Jun 22 16:44:06.001 INFO Synced                                  slot: 191620, block: 0xa2c7…5055, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:44:12.386 INFO New block received                      hash: 0x7290…ef0a, slot: 191621, service: router
Jun 22 16:44:18.003 INFO Synced                                  slot: 191621, block: 0x7290…ef0a, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:44:24.930 INFO New block received                      hash: 0x077e…585a, slot: 191622, service: router
Jun 22 16:44:30.002 INFO Synced                                  slot: 191622, block: 0x077e…585a, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:44:42.001 INFO Synced                                  slot: 191623, block:    …  empty, epoch: 5988, finalized_epoch: 5554, finalized_root: 0x7998…56be, peers: 55, service: slot_notifier
Jun 22 16:44:48.517 INFO New block received                      hash: 0xa46c…005e, slot: 191624, service: router
