2020-06-23 11:20:16  Starting OpenEthereum/v3.0.1-stable-8ca8089e9b-20200601/x86_64-unknown-linux-gnu/rustc1.43.1
2020-06-23 11:20:16  Keys path /home/user/.local/share/io.parity.ethereum/keys/goerli
2020-06-23 11:20:16  DB path /home/user/.local/share/io.parity.ethereum/chains/goerli/db/b1d518969eab529d
2020-06-23 11:20:16  State DB configuration: fast
2020-06-23 11:20:16  Operating mode: active
2020-06-23 11:20:16  Configured for Görli Testnet using Clique engine
2020-06-23 11:20:16  Updater is deprecated and may be removed in a future release. Please see #11696 for details:
https://github.com/openethereum/openethereum/issues/11696
2020-06-23 11:20:21  Public node URL: enode://8c5c4dec9a0728c7058d3c29698bae888adc244e443cebc21f3d708a20751511acbf98a52b5e5ea472f8715c658913e8084123461fd187a4980a0600420b0791@10.67.38.7:30303
2020-06-23 11:20:46     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:31  Syncing #1830882 0xe967…b16e   132.20 blk/s  116.8 tx/s   54.3 Mgas/s      0+15179 Qed  #1846073   30/50 peers      4 MiB chain  188 MiB db   69 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:36  Syncing #1831682 0x2235…6d09   159.87 blk/s  181.7 tx/s   68.9 Mgas/s      0+14387 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   66 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:41  Syncing #1832458 0x7273…77d9   154.94 blk/s  219.7 tx/s   72.8 Mgas/s      0+13607 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   62 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:46  Syncing #1833262 0xd654…a975   160.87 blk/s  219.0 tx/s   73.4 Mgas/s      0+12803 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   58 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:51  Syncing #1834711 0xd38d…ec15   289.60 blk/s  287.2 tx/s   70.0 Mgas/s      0+11351 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   53 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:18:56  Syncing #1836362 0xb96d…d6c2   330.40 blk/s  229.0 tx/s   68.6 Mgas/s      0+ 9707 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   48 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:01  Syncing #1837751 0x8884…6945   277.07 blk/s  309.2 tx/s   69.7 Mgas/s      0+ 8315 Qed  #1846073   30/50 peers      4 MiB chain  189 MiB db   42 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:06  Syncing #1838745 0x344a…fc94   199.40 blk/s  343.9 tx/s   59.9 Mgas/s      0+ 7827 Qed  #1846581   30/50 peers      4 MiB chain  189 MiB db   39 MiB queue   42 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:11  Syncing #1839571 0xc208…bdf2   165.13 blk/s  241.1 tx/s   50.8 Mgas/s      0+ 8917 Qed  #1848499   30/50 peers      4 MiB chain  189 MiB db   45 MiB queue   70 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:16  Syncing #1840602 0xd0be…b450   205.87 blk/s  385.2 tx/s   63.9 Mgas/s      0+ 7885 Qed  #1848499   30/50 peers      4 MiB chain  190 MiB db   40 MiB queue   70 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:21  Syncing #1841344 0x65f5…f104   148.17 blk/s  282.7 tx/s   43.4 Mgas/s      0+14633 Qed  #1855979   30/50 peers      4 MiB chain  190 MiB db  105 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:26  Syncing #1842571 0x8558…ed26   245.60 blk/s  413.8 tx/s   70.0 Mgas/s      0+13397 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   99 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:31  Syncing #1843686 0x10eb…1f20   223.00 blk/s  431.4 tx/s   87.3 Mgas/s      0+12281 Qed  #1855979   30/50 peers      5 MiB chain  189 MiB db   93 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:36  Syncing #1844809 0xb34d…8fff   224.60 blk/s  365.2 tx/s   92.1 Mgas/s      0+11165 Qed  #1855979   30/50 peers      5 MiB chain  189 MiB db   86 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:41  Syncing #1846234 0xe055…331b   284.80 blk/s  327.6 tx/s   72.7 Mgas/s      0+ 9737 Qed  #1855979   30/50 peers      6 MiB chain  189 MiB db   80 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:46  Syncing #1847462 0x7e44…bd3a   245.55 blk/s  355.4 tx/s   69.1 Mgas/s      0+ 8513 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   75 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:51  Syncing #1848470 0x6dc3…9001   201.36 blk/s  299.3 tx/s   73.3 Mgas/s      0+ 7505 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   69 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:19:56  Syncing #1849129 0x90dd…720b   131.80 blk/s  270.6 tx/s   49.5 Mgas/s      0+ 6845 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   64 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:01  Syncing #1849485 0x3a5e…5dc0    71.34 blk/s  216.8 tx/s   45.2 Mgas/s      0+ 6485 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   61 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:06  Syncing #1850184 0xa080…9083   139.80 blk/s  391.8 tx/s   92.9 Mgas/s      0+ 5789 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   53 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:11  Syncing #1850812 0xba3c…817c   125.60 blk/s  338.4 tx/s   64.8 Mgas/s      0+ 5165 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   46 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:16  Syncing #1851460 0xd4dc…dfcd   129.60 blk/s  323.0 tx/s   60.7 Mgas/s      0+ 4517 Qed  #1855979   30/50 peers      4 MiB chain  189 MiB db   40 MiB queue   57 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:21  Syncing #1852342 0x8e15…b7a8   176.40 blk/s  237.8 tx/s   50.9 Mgas/s      0+ 5421 Qed  #1857771   30/50 peers      4 MiB chain  189 MiB db   59 MiB queue   68 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:26  Syncing #1853443 0x66f8…e17c   220.00 blk/s  252.6 tx/s   74.8 Mgas/s      0+ 4317 Qed  #1857771   30/50 peers      4 MiB chain  189 MiB db   52 MiB queue   68 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:31  Syncing #1854097 0x68f5…b8bc   130.80 blk/s  334.2 tx/s   66.4 Mgas/s      0+ 3669 Qed  #1857771   30/50 peers      4 MiB chain  189 MiB db   46 MiB queue   68 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:36  Syncing #1854660 0xfcf8…22b1   112.78 blk/s  383.9 tx/s   81.7 Mgas/s      0+ 3105 Qed  #1857771   30/50 peers      4 MiB chain  189 MiB db   38 MiB queue  103 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:41  Syncing #1855023 0xd44b…e6fb    72.40 blk/s  242.2 tx/s   39.7 Mgas/s      0+16193 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db  168 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:46  Syncing #1855611 0x0b8d…960f   117.80 blk/s  369.8 tx/s   61.7 Mgas/s      0+15605 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db  162 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:51  Syncing #1856196 0x9b8f…0563   115.98 blk/s  370.7 tx/s   89.1 Mgas/s      0+15017 Qed  #1871219   30/50 peers      4 MiB chain  188 MiB db  153 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:20:56  Syncing #1856891 0x270d…994e   139.86 blk/s  323.7 tx/s   63.9 Mgas/s      0+14321 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db  147 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:01  Syncing #1857645 0xa5d3…b356   150.80 blk/s  364.8 tx/s   60.1 Mgas/s      0+13565 Qed  #1871219   30/50 peers      4 MiB chain  188 MiB db  141 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:06  Syncing #1857814 0x4ded…91b4    33.80 blk/s  929.0 tx/s   85.4 Mgas/s      0+13397 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db  131 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:11  Syncing #1857984 0x8a44…f546    33.99 blk/s  941.0 tx/s   86.8 Mgas/s      0+13229 Qed  #1871219   30/50 peers      7 MiB chain  189 MiB db  121 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:16  Syncing #1858291 0x8121…7885    61.40 blk/s  891.6 tx/s   85.3 Mgas/s      0+12917 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db  111 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:21  Syncing #1858802 0x26de…f9ff   102.20 blk/s  729.0 tx/s   80.9 Mgas/s      0+12413 Qed  #1871219   30/50 peers      3 MiB chain  189 MiB db  102 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:26  Syncing #1859523 0xa95b…1f8b   144.20 blk/s  307.6 tx/s   64.8 Mgas/s      0+11693 Qed  #1871219   30/50 peers      3 MiB chain  189 MiB db   97 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:31  Syncing #1860199 0x36ba…7bc4   135.20 blk/s  294.8 tx/s   58.7 Mgas/s      0+11009 Qed  #1871219   30/50 peers      6 MiB chain  189 MiB db   90 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:36  Syncing #1860802 0x22ca…8d8e   120.40 blk/s  310.0 tx/s   57.0 Mgas/s      0+10409 Qed  #1871219   30/50 peers      6 MiB chain  189 MiB db   84 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:41  Syncing #1861421 0x0f57…22d8   126.53 blk/s  301.2 tx/s   58.8 Mgas/s      0+ 9797 Qed  #1871219   30/50 peers      3 MiB chain  189 MiB db   78 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:46  Syncing #1862022 0x58ba…41b3   120.18 blk/s  318.5 tx/s   58.7 Mgas/s      0+ 9185 Qed  #1871219   30/50 peers      3 MiB chain  188 MiB db   72 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:51  Syncing #1862743 0xb4c4…1626   144.00 blk/s  271.8 tx/s   54.7 Mgas/s      0+ 8465 Qed  #1871219   30/50 peers      4 MiB chain  188 MiB db   67 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:21:56  Syncing #1863661 0xb949…ed7e   183.69 blk/s  341.8 tx/s   59.4 Mgas/s      0+ 7553 Qed  #1871219   30/50 peers      4 MiB chain  188 MiB db   61 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:01  Syncing #1864750 0x44d9…d61b   217.40 blk/s  219.4 tx/s   59.3 Mgas/s      0+ 6461 Qed  #1871219   30/50 peers      4 MiB chain  189 MiB db   57 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:06  Syncing #1865432 0x3a1b…f351   136.80 blk/s  301.4 tx/s   60.6 Mgas/s      0+ 5777 Qed  #1871219   31/50 peers      7 MiB chain  189 MiB db   51 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:11  Syncing #1866036 0x6b35…3469   120.78 blk/s  339.7 tx/s   65.8 Mgas/s      0+ 5177 Qed  #1871219   31/50 peers      4 MiB chain  189 MiB db   44 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:16  Syncing #1866608 0xd7aa…c9d6   114.26 blk/s  321.8 tx/s   58.4 Mgas/s      0+ 4855 Qed  #1871473   31/50 peers      4 MiB chain  189 MiB db   40 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:21  Syncing #1867188 0xa6bb…2cfe   116.00 blk/s  314.8 tx/s   58.5 Mgas/s      0+ 4787 Qed  #1871981   31/50 peers      4 MiB chain  189 MiB db   40 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:26  Syncing #1867694 0x1649…51df   101.00 blk/s  293.4 tx/s   52.8 Mgas/s      0+ 4537 Qed  #1872235   31/50 peers      4 MiB chain  188 MiB db   38 MiB queue   77 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:31  Syncing #1868122 0xe29d…41b4    85.78 blk/s  241.2 tx/s   44.4 Mgas/s      0+ 7407 Qed  #1875537   31/50 peers      4 MiB chain  189 MiB db   61 MiB queue   62 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:36  Syncing #1868790 0xc5ed…f476   133.60 blk/s  336.0 tx/s   58.9 Mgas/s      0+ 6735 Qed  #1875537   31/50 peers      4 MiB chain  189 MiB db   54 MiB queue   62 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:41  Syncing #1869754 0x4e64…3d00   192.60 blk/s  313.0 tx/s   58.3 Mgas/s      0+ 5775 Qed  #1875537   30/50 peers      4 MiB chain  189 MiB db   50 MiB queue   62 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:46  Syncing #1870612 0xbeed…e4e5   171.77 blk/s  250.9 tx/s   52.8 Mgas/s      0+ 4923 Qed  #1875537   30/50 peers      4 MiB chain  189 MiB db   44 MiB queue   62 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:51  Syncing #1871363 0x3dd5…9433   150.00 blk/s  285.2 tx/s   52.7 Mgas/s   1212+ 7807 Qed  #1880744   30/50 peers      4 MiB chain  189 MiB db   74 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:22:56  Syncing #1871765 0xef58…daa0    80.39 blk/s  294.6 tx/s   51.1 Mgas/s      0+ 8978 Qed  #1880744   30/50 peers      4 MiB chain  189 MiB db   70 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:01  Syncing #1872293 0x7366…9aad   105.52 blk/s  361.7 tx/s   68.5 Mgas/s      0+ 8450 Qed  #1880744   30/50 peers      4 MiB chain  189 MiB db   63 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:06  Syncing #1872802 0x3844…cb0d   101.66 blk/s  342.1 tx/s   63.3 Mgas/s      0+ 7934 Qed  #1880744   30/50 peers      4 MiB chain  189 MiB db   56 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:11  Syncing #1873381 0xf78e…03cf   115.73 blk/s  315.4 tx/s   58.1 Mgas/s      0+ 7358 Qed  #1880744   30/50 peers      4 MiB chain  189 MiB db   50 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:16  Syncing #1873989 0x6923…7ca9   121.60 blk/s  301.0 tx/s   57.2 Mgas/s      0+ 6746 Qed  #1880744   30/50 peers      4 MiB chain  188 MiB db   44 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:21  Syncing #1874704 0x99b6…f61b   142.69 blk/s  320.9 tx/s   53.4 Mgas/s      0+ 6038 Qed  #1880744   30/50 peers      4 MiB chain  188 MiB db   40 MiB queue   45 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:26  Syncing #1875611 0x1744…cf2c   181.49 blk/s  185.7 tx/s   47.4 Mgas/s      0+ 9825 Qed  #1885443   30/50 peers      4 MiB chain  188 MiB db   60 MiB queue   46 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:31  Syncing #1876542 0x580f…9a48   185.80 blk/s  249.0 tx/s   57.0 Mgas/s      0+ 8901 Qed  #1885443   30/50 peers      4 MiB chain  188 MiB db   55 MiB queue   46 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:36  Syncing #1877202 0xeda9…5eb1   132.40 blk/s  281.4 tx/s   56.0 Mgas/s      0+ 8229 Qed  #1885443   30/50 peers      4 MiB chain  188 MiB db   49 MiB queue   46 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:41  Syncing #1877922 0xe9e9…e66a   144.00 blk/s  334.0 tx/s   71.4 Mgas/s      0+ 7509 Qed  #1885443   31/50 peers      4 MiB chain  188 MiB db   43 MiB queue   46 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:47  Syncing #1878458 0x9510…0533   107.00 blk/s  247.0 tx/s   46.9 Mgas/s    724+ 9831 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db   56 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:51  Syncing #1878949 0x4090…058a    98.20 blk/s  198.4 tx/s   40.4 Mgas/s      0+25285 Qed  #1904239   31/50 peers      4 MiB chain  188 MiB db  133 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:23:56  Syncing #1879709 0xad17…0600   152.20 blk/s  279.6 tx/s   55.8 Mgas/s      0+24529 Qed  #1904239   31/50 peers      4 MiB chain  188 MiB db  128 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:01  Syncing #1880733 0x618e…9afc   204.76 blk/s  321.5 tx/s   57.6 Mgas/s      0+23497 Qed  #1904239   31/50 peers      4 MiB chain  188 MiB db  123 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:06  Syncing #1881861 0xb05e…7cb9   225.60 blk/s  225.2 tx/s   56.3 Mgas/s      0+22369 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db  119 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:11  Syncing #1882783 0xb75f…a06e   184.40 blk/s  234.6 tx/s   54.2 Mgas/s      0+21445 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db  114 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:16  Syncing #1883668 0x9f46…a7c9   176.76 blk/s  239.6 tx/s   56.5 Mgas/s      0+20569 Qed  #1904239   30/50 peers      4 MiB chain  189 MiB db  109 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:21  Syncing #1884594 0x9686…ed94   185.20 blk/s  252.4 tx/s   55.9 Mgas/s      0+19645 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db  104 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:26  Syncing #1885498 0xad07…626b   180.76 blk/s  266.5 tx/s   55.8 Mgas/s      0+18733 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db   99 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:31  Syncing #1886531 0xd328…81c7   206.72 blk/s  296.3 tx/s   55.5 Mgas/s      0+17701 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db   94 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:36  Syncing #1887621 0xa8ed…c306   217.56 blk/s  192.0 tx/s   51.2 Mgas/s      0+16609 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   90 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:41  Syncing #1888422 0x475d…ed2c   160.30 blk/s  223.7 tx/s   51.4 Mgas/s      0+15817 Qed  #1904239   30/50 peers      4 MiB chain  189 MiB db   86 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:46  Syncing #1889166 0x8ee7…2aa6   148.94 blk/s  281.9 tx/s   56.5 Mgas/s      0+15061 Qed  #1904239   30/50 peers      4 MiB chain  188 MiB db   81 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:51  Syncing #1889852 0x771e…2417   137.17 blk/s  223.8 tx/s   46.5 Mgas/s      0+14377 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   76 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:24:56  Syncing #1890781 0x8c57…086b   185.76 blk/s  218.8 tx/s   52.3 Mgas/s      0+13453 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   72 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:01  Syncing #1891795 0x4bd0…3a43   202.60 blk/s  252.0 tx/s   55.5 Mgas/s      0+12433 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   67 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:06  Syncing #1893052 0xa062…32a0   251.45 blk/s  310.2 tx/s   62.6 Mgas/s      0+11185 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   62 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:11  Syncing #1894012 0xfb6d…2f03   192.00 blk/s  216.8 tx/s   51.3 Mgas/s      0+10225 Qed  #1904239   30/50 peers      5 MiB chain  189 MiB db   57 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:16  Syncing #1894801 0xe415…8e5d   157.80 blk/s  242.0 tx/s   51.1 Mgas/s      0+ 9433 Qed  #1904239   30/50 peers      5 MiB chain  189 MiB db   52 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:21  Syncing #1895492 0xe168…72b0   138.17 blk/s  227.4 tx/s   48.1 Mgas/s      0+ 8737 Qed  #1904239   30/50 peers      5 MiB chain  189 MiB db   48 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:26  Syncing #1896054 0x5529…eea7   112.18 blk/s  199.6 tx/s   41.1 Mgas/s      0+ 8185 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   44 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:31  Syncing #1896692 0x99b6…092c   127.80 blk/s  215.6 tx/s   44.3 Mgas/s      0+ 7537 Qed  #1904239   30/50 peers      5 MiB chain  188 MiB db   40 MiB queue   28 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:36  Syncing #1897251 0xca5a…0339   111.80 blk/s  188.0 tx/s   37.9 Mgas/s      0+ 8128 Qed  #1905382   30/50 peers      4 MiB chain  188 MiB db   42 MiB queue   43 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:41  Syncing #1897961 0xdf97…0042   142.00 blk/s  250.2 tx/s   40.8 Mgas/s   1922+ 9642 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   61 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:46  Syncing #1898780 0x5ba0…4744   163.60 blk/s  168.6 tx/s   39.4 Mgas/s      0+13196 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   70 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:51  Syncing #1899541 0x9996…b049   152.40 blk/s  184.4 tx/s   43.7 Mgas/s      0+12440 Qed  #1911986   31/50 peers      4 MiB chain  188 MiB db   67 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:25:56  Syncing #1900197 0xe9d7…b51f   131.00 blk/s  191.2 tx/s   42.4 Mgas/s      0+11780 Qed  #1911986   31/50 peers      4 MiB chain  188 MiB db   63 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:01  Syncing #1900752 0x426e…2c18   111.18 blk/s  186.4 tx/s   38.9 Mgas/s      0+11228 Qed  #1911986   31/50 peers      4 MiB chain  188 MiB db   59 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:06  Syncing #1901306 0x8e1e…ee38   110.80 blk/s  197.6 tx/s   37.8 Mgas/s      0+10676 Qed  #1911986   31/50 peers      4 MiB chain  188 MiB db   56 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:11  Syncing #1901893 0x003e…a7ae   117.20 blk/s  173.2 tx/s   37.8 Mgas/s      0+10088 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   52 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:16  Syncing #1902533 0x46bd…ce71   128.00 blk/s  221.8 tx/s   44.6 Mgas/s      0+ 9452 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   48 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:21  Syncing #1903453 0xe9d8…ff28   184.00 blk/s  340.8 tx/s   56.0 Mgas/s      0+ 8528 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   43 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:26  Syncing #1904611 0x20ba…5544   231.75 blk/s  207.6 tx/s   54.7 Mgas/s      0+ 7364 Qed  #1911986   30/50 peers      4 MiB chain  188 MiB db   39 MiB queue   50 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:31  Syncing #1905443 0xa62a…bd5a   169.32 blk/s  206.2 tx/s   48.5 Mgas/s      0+ 7553 Qed  #1913003   30/50 peers      4 MiB chain  188 MiB db   41 MiB queue   53 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 12:26:36  Syncing #1906133 0xc773…2e09   138.17 blk/s  151.2 tx/s   36.7 Mgas/s      0+17028 Qed  #1923162   30/50 peers      4 MiB chain  188 MiB db   91 MiB queue   35 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
